Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
16,1,1.628,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_ob,3Orange,,POINT,0
16,1,2.188,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_4r_1,4Red,,POINT,0.56
16,1,2.748,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_om,3Orange,,POINT,1.12
16,1,3.206,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_1t,1transparent,,POINT,1.578
16,1,3.613,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_4yr_1,4YellowRound,,POINT,1.985
16,1,4.326,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_4yr_2,4YellowRound,,POINT,2.698
16,1,5.089,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_ob,3Orange,,POINT,3.461
16,1,6.565,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_om,3Orange,,POINT,4.937
16,1,6.768,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_1t,1transparent,,POINT,5.14
16,1,8.295,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_2dr_1,2DarkRed,,POINT,6.667
16,1,9.364,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_4r_2,4Red,,POINT,7.736
16,1,9.364,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_4r_3,4Red,,POINT,7.736
16,1,10.127,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_ob,3Orange,,POINT,8.499
16,1,11.349,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_2dr_2,2DarkRed,,POINT,9.721
16,1,12.57,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_ob,3Orange,,POINT,10.942
16,1,12.977,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,u_2dr_2,2DarkRed,,START,11.349
16,1,16.285,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_1t,1transparent,,POINT,14.657
16,1,16.641,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_om,3Orange,,POINT,15.013
16,1,16.743,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,u_3_ob,3Orange,,START,15.115
16,1,17.099,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,u_2dr_2,2DarkRed,,STOP,15.471
16,1,17.812,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,u_3_ob,3Orange,,STOP,16.184
16,1,17.812,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,u_3_om,3Orange,,START,16.184
16,1,18.117,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_1_DFB/exports/000/world.mp4,164.09,19.65,,l_3_os,3Orange,,POINT,16.489
