start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
8946.748,0,1,245.414,0,1,FALSE,245.414,1,0.430,0.674,1.599,0.993,3d gaze,-12.181,-15.960,90.048,,18,3,0.497,0,l_4yr_1,4YellowRound,POINT,0.558,331.473,2,100,3,0.477,0.760,4
8947.023,0.275,2,90.417,1,1,TRUE,187.260,2,0.529,0.676,1.294,0.732,3d gaze,1.660,-14.036,79.245,,18,3,1.144,0.647,l_4yr_2,4YellowRound,POINT,1.223,229.978,2,80,18,0.344,0.583,7
8947.117,0.368,3,96.842,1,2,FALSE,96.842,1,0.507,0.664,2.002,0.981,3d gaze,-1.134,-14.484,87.315,,18,3,1.542,1.045,l_3_ob,3Orange,POINT,1.510,263.652,1,264,25,0.356,0.453,9
8947.306,0.558,4,100.214,3,5,TRUE,331.473,2,0.477,0.760,1.921,0.995,3d gaze,-5.589,-23.677,91.901,,18,3,1.939,1.442,l_3_os,3Orange,POINT,1.924,240.689,2,141,35,0.523,0.484,10
8947.411,0.662,5,231.259,5,11,FALSE,231.259,1,0.475,0.763,0.855,0.995,3d gaze,-5.875,-23.962,91.705,,18,3,2.586,2.089,l_4r_1,4Red,POINT,2.576,119.222,1,119,52,0.562,0.597,12
8947.657,0.909,6,179.691,11,15,FALSE,179.691,1,0.470,0.656,1.665,0.997,3d gaze,-6.168,-13.626,85.815,,18,3,6.017,5.52,l_4r_1,4Red,POINT,5.980,123.787,1,124,151,0.545,0.619,14
8947.971,1.223,7,80.447,18,21,TRUE,229.978,2,0.344,0.583,1.885,0.998,3d gaze,-22.603,-7.744,82.371,,18,3,6.116,5.619,l_4yr_2,4YellowRound,POINT,5.980,123.787,1,124,151,0.545,0.619,14
8948.069,1.321,8,149.531,21,24,FALSE,149.531,1,0.326,0.551,1.991,0.979,3d gaze,-24.022,-5.079,78.662,,18,3,6.713,6.216,l_3_ob,3Orange,POINT,6.628,1423.427,4,257,168,0.403,0.483,15
8948.258,1.510,9,263.652,25,32,FALSE,263.652,1,0.356,0.453,1.798,0.968,3d gaze,-19.077,2.001,74.972,,18,3,7.558,7.061,l_4yr_2,4YellowRound,POINT,7.488,1166.921,3,314,190,0.398,0.481,16
8948.672,1.924,10,141.362,35,38,TRUE,240.689,2,0.523,0.484,1.738,0.994,3d gaze,0.886,-0.147,77.751,,18,3,9.05,8.553,l_3_ob,3Orange,POINT,8.898,786.091,2,294,227,0.393,0.426,19
8949.040,2.292,11,99.328,45,47,FALSE,99.328,1,0.534,0.457,1.050,0.995,3d gaze,2.300,1.863,82.286,,18,3,11.089,10.592,l_1t,1transparent,POINT,11.165,87.443,1,87,290,0.478,0.682,22
8949.324,2.576,12,119.222,52,55,FALSE,119.222,1,0.562,0.597,1.223,0.993,3d gaze,6.018,-8.682,83.174,,18,3,11.238,10.741,l_4r_2,4Red,POINT,11.165,87.443,1,87,290,0.478,0.682,22
8952.574,5.826,13,115.246,147,150,FALSE,115.246,1,0.507,0.562,1.111,0.992,3d gaze,-2.823,-15.972,220.425,,18,3,11.338,10.841,l_4r_3,4Red,POINT,11.349,892.548,2,495,295,0.463,0.499,23
8952.728,5.980,14,123.787,151,154,FALSE,123.787,1,0.545,0.619,0.474,0.991,3d gaze,12.252,-33.756,270.538,,18,3,11.785,11.288,l_4yr_1,4YellowRound,POINT,11.855,397.309,1,397,310,0.462,0.498,24
8953.376,6.628,15,256.506,168,175,TRUE,1423.427,4,0.403,0.483,0.344,0.967,3d gaze,-26.924,-0.207,152.142,,18,3,11.835,11.338,u_2dr_1,2DarkRed,START,11.855,397.309,1,397,310,0.462,0.498,24
8954.236,7.488,16,313.516,190,198,TRUE,1166.921,3,0.398,0.481,0.628,0.979,3d gaze,-28.182,0.169,152.680,,18,3,11.885,11.388,u_2dr_2,2DarkRed,START,11.855,397.309,1,397,310,0.462,0.498,24
8954.643,7.895,17,473.305,200,215,TRUE,853.405,2,0.399,0.484,0.240,0.989,3d gaze,-27.930,-0.265,152.459,,18,3,14.421,13.924,u_3_ob,3Orange,START,14.772,404.311,1,404,363,0.090,0.040,26
8955.194,8.446,18,380.100,217,225,FALSE,380.100,1,0.401,0.485,0.726,0.970,3d gaze,-27.290,-0.400,152.200,,18,3,16.758,16.261,l_4r_2,4Red,POINT,16.685,90.642,1,91,420,0.526,0.679,32
8955.646,8.898,19,294.069,227,236,TRUE,786.091,2,0.393,0.426,0.015,0.987,3d gaze,-32.491,8.669,167.900,,18,3,16.907,16.41,BC,BrickClick,POINT,16.685,90.642,1,91,420,0.526,0.679,32
8956.892,10.144,20,492.022,260,275,FALSE,492.022,1,0.392,0.426,0.017,0.995,3d gaze,-32.555,8.635,167.912,,18,3,16.907,16.41,u_2dr_1,2DarkRed,STOP,16.685,90.642,1,91,420,0.526,0.679,32
8957.497,10.749,21,378.997,278,289,FALSE,378.997,1,0.463,0.498,0.039,0.923,3d gaze,-17.772,-3.113,217.648,,18,3,16.907,16.41,u_2dr_2,2DarkRed,STOP,16.685,90.642,1,91,420,0.526,0.679,32
8957.913,11.165,22,87.443,290,292,FALSE,87.443,1,0.478,0.682,1.681,0.958,3d gaze,-7.935,-24.810,135.369,,18,3,16.907,16.41,u_3_ob,3Orange,STOP,16.685,90.642,1,91,420,0.526,0.679,32
8958.097,11.349,23,495.239,295,310,TRUE,892.548,2,0.463,0.499,0.168,0.924,3d gaze,-17.854,-3.276,217.634,,18,3,16.907,16.41,u_base,Base,START,16.685,90.642,1,91,420,0.526,0.679,32
8958.603,11.855,24,397.309,310,315,FALSE,397.309,1,0.462,0.498,0.066,0.892,3d gaze,-18.010,-3.223,217.694,,18,3,17.553,17.056,u_3_os,3Orange,START,18.214,221.984,1,222,430,0.541,0.762,33
