time,total_length,FPS,behavior,behavioral_category,status,participantID,block
0.954,129.950,20.97,l_3_ob,3Orange,POINT,12,1
1.049,129.950,20.97,l_1t,1transparent,POINT,12,1
2.337,129.950,20.97,l_4yr_1,4YellowRound,POINT,12,1
2.623,129.950,20.97,l_1t,1transparent,POINT,12,1
2.957,129.950,20.97,l_4r_1,4Red,POINT,12,1
3.910,129.950,20.97,l_1t,1transparent,POINT,12,1
5.484,129.950,20.97,l_2dr_1,2DarkRed,POINT,12,1
6.104,129.950,20.97,l_3_om,3Orange,POINT,12,1
9.728,129.950,20.97,l_4yr_1,4YellowRound,POINT,12,1
10.062,129.950,20.97,l_1t,1transparent,POINT,12,1
11.779,129.950,20.97,l_4r_2,4Red,POINT,12,1
12.923,129.950,20.97,l_3_om,3Orange,POINT,12,1
13.305,129.950,20.97,l_1t,1transparent,POINT,12,1
15.308,129.950,20.97,l_2dr_1,2DarkRed,POINT,12,1
17.024,129.950,20.97,l_2dr_1,2DarkRed,POINT,12,1
17.501,129.950,20.97,l_3_os,3Orange,POINT,12,1
18.741,129.950,20.97,u_1t,1transparent,START,12,1
18.836,129.950,20.97,u_2dr_1,2DarkRed,START,12,1
19.456,129.950,20.97,l_1t,1transparent,POINT,12,1
20.505,129.950,20.97,l_3_os,3Orange,POINT,12,1
20.839,129.950,20.97,l_2dr_1,2DarkRed,POINT,12,1
21.602,129.950,20.97,l_1t,1transparent,POINT,12,1
23.319,129.950,20.97,BC,BrickClick,POINT,12,1
23.367,129.950,20.97,u_1t,1transparent,STOP,12,1
23.367,129.950,20.97,u_2dr_1,2DarkRed,STOP,12,1
23.367,129.950,20.97,u_conf,Configuration,START,12,1
23.796,129.950,20.97,l_4r_3,4Red,POINT,12,1
24.416,129.950,20.97,l_conf,Configuration,POINT,12,1
24.511,129.950,20.97,u_4r_3,4Red,START,12,1
26.085,129.950,20.97,BC,BrickClick,POINT,12,1
26.085,129.950,20.97,u_4r_3,4Red,STOP,12,1
26.180,129.950,20.97,u_conf,Configuration,STOP,12,1
26.228,129.950,20.97,u_base,Base,START,12,1
26.419,129.950,20.97,l_3_ob,3Orange,POINT,12,1
26.753,129.950,20.97,l_4yr_1,4YellowRound,POINT,12,1
27.086,129.950,20.97,u_4yr_1,4YellowRound,START,12,1
27.420,129.950,20.97,l_3_ob,3Orange,POINT,12,1
27.659,129.950,20.97,l_4r_4,4Red,POINT,12,1
28.088,129.950,20.97,l_base,Base,START,12,1
31.283,129.950,20.97,Acc,Accidents,START,12,1
31.283,129.950,20.97,BC,BrickClick,POINT,12,1
36.767,129.950,20.97,Acc,Accidents,STOP,12,1
36.767,129.950,20.97,u_4yr_1,4YellowRound,STOP,12,1
36.910,129.950,20.97,l_base,Base,STOP,12,1
37.625,129.950,20.97,l_4r_1,4Red,POINT,12,1
37.625,129.950,20.97,u_4r_1,4Red,START,12,1
37.816,129.950,20.97,l_base,Base,START,12,1
38.865,129.950,20.97,l_base,Base,STOP,12,1
38.913,129.950,20.97,l_3_ob,3Orange,POINT,12,1
39.533,129.950,20.97,Acc,Accidents,START,12,1
40.200,129.950,20.97,l_conf,Configuration,POINT,12,1
41.536,129.950,20.97,BC,BrickClick,POINT,12,1
41.536,129.950,20.97,u_4r_1,4Red,STOP,12,1
41.583,129.950,20.97,l_conf,Configuration,POINT,12,1
44.397,129.950,20.97,BC,BrickClick,POINT,12,1
44.444,129.950,20.97,Acc,Accidents,STOP,12,1
44.588,129.950,20.97,l_4yr_2,4YellowRound,POINT,12,1
45.160,129.950,20.97,u_4yr_2,4YellowRound,START,12,1
45.255,129.950,20.97,l_base,Base,START,12,1
46.972,129.950,20.97,BC,BrickClick,POINT,12,1
47.496,129.950,20.97,l_base,Base,STOP,12,1
47.544,129.950,20.97,u_4yr_2,4YellowRound,STOP,12,1
47.735,129.950,20.97,l_4r_4,4Red,POINT,12,1
48.021,129.950,20.97,l_2dr_2,2DarkRed,POINT,12,1
48.259,129.950,20.97,l_base,Base,START,12,1
48.355,129.950,20.97,u_4r_4,4Red,START,12,1
48.593,129.950,20.97,l_base,Base,STOP,12,1
48.736,129.950,20.97,l_4r_4,4Red,POINT,12,1
49.261,129.950,20.97,l_base,Base,START,12,1
50.453,129.950,20.97,BC,BrickClick,POINT,12,1
50.501,129.950,20.97,u_4r_4,4Red,STOP,12,1
52.551,129.950,20.97,l_base,Base,STOP,12,1
52.599,129.950,20.97,l_4r_2,4Red,POINT,12,1
53.124,129.950,20.97,u_4r_2,4Red,START,12,1
53.314,129.950,20.97,l_base,Base,START,12,1
55.222,129.950,20.97,l_base,Base,STOP,12,1
55.365,129.950,20.97,BC,BrickClick,POINT,12,1
